Surname_Name;Pseudonym(s);Year_Birth;Year_Death;Nationality;Gender;Journal(s);Notes
Baumgardt, Ernst;NONE;Missing;Missing;Missing;M;UM;
Dachauer, S.;NONE;Missing;Missing;Missing;Missing;UM;
Grivannes, Marcelle;NONE;Missing;Missing;Missing;F;UM;
Hagen, Friedrich;NONE;1903;1979;DE;M;UM;"German poet, and dramatist; 1933 flees to France from Germany, member of French resistance; heads French radio after the war, freelance writer and translator from 1950, specialises in Cocteau, Eluard and Supervielle https://de.wikipedia.org/wiki/Friedrich_Hagen"
Heidelberger, Ernst;NONE;1908;Missing;DE;M;UM;"Secondary school teacher (Gymnasiallehrer), Dr. phil., Jewish, studied in Würzburg, employment ban 1933, flees to Paris then Ramat Gan (Palestine), 1937 returns to France, 1940 flees to Free Zone under Vichy regime, from 1982 living in Colombe, France https://www.historisches-unterfranken.uni-wuerzburg.de/juf/Datenbank/detailsinclude.php?global=;search;24144;"
Heidelberger, Gertrud;NONE;1905;Missing;DE;F;UM;"Secondary school teacher (Gymnasiallehrerin), Dr. phil., Jewish, studied in Würzburg, Vienna, Paris, Bonn, marries Ernst H., flees to Free Zone under Vichy regime (Toulouse), earns living through translation work, German lessons, book trade; from 1982 living in Bonn https://www.historisches-unterfranken.uni-wuerzburg.de/juf/Datenbank/detailsinclude.php?global=;search;24145;"
Heidelberger, T.;NONE;Missing;Missing;DE;Missing;UM;Possibly abbreviation of Gertrud (“Trudl”) i.e. Gertrud Heidelberger (see
Janès, Jean W.;NONE;Missing;Missing;Missing;M;UM;
Kirschberger, Walter;NONE;Missing;Missing;Missing;M;UM;
Korth, Clemens;NONE;Missing;Missing;DE;M;UM;"Dr. phil. Key figure in Saarländische Rundfunk (Saarland Radio), specialising in music and cultural programmes
https://www.yumpu.com/de/document/read/28614913/persanliche-erinnerungen-an-die-saarlandische-literatur-"
Leroy, E.;NONE;Missing;Missing;DE;Missing;UM;
Möhring, Richard;"Moering, Richard ; Möring, Richard";1894;1974;DE;M;UM;"NB Changes name to “Peter Gan”: German author, translator, literary editor; studied law in Marburg, Bonn, Hamburg, Dr. Phil., studied English and Philosophie at Oxford; from 1927 freelance; 1938 flees Nazism, heads to Paris; 1942 on to Spain; 1946 – 1958 living in Paris, dies in Hamburg 1974; before WW2 correspondent for Frankfurter Zeitung, works for Atlantis-Verlag; after WW2 translator from EN and FR https://deacademic.com/dic.nsf/dewiki/1182139/571293"
Picard, Fritz;NONE;Missing;Missing;Missing;M;UM;
Piesen, Ferdinand;NONE;1909;1994;Missing;M;UM;"German-speaking composer and translator; studies in Wien at the Konservatorium; composing in 1930s, persecuted by Nazis;1938 to Paris, interned during Occupation, after WW2 stays in France and earns living as translator, specialises in Sci-Fi (Perry Rhodan) https://de.wikipedia.org/wiki/Ferdinand_Piesen; inferred nationality AT or DE, but born in Krakow"
Roland, Elisabeth-Charlotte;NONE;Missing;Missing;DE;F;UM;"Co-editor of Die Umschau with Heinz Maus from Nov-Dez 1946 issue onwards; possibly at some point co-worker of Manès Sperber in Paris?; originally from East Prussia? Née Rechler?"
Roque, Roger;NONE;Missing;Missing;Missing;M;UM;
Schering, Emil;NONE;1873;1951;DE;M;UM;"German author, translator, editor; editor of the Berliner Herold; translated Strindberg; originally worked in Isadora Duncan’s dance school in Berlin https://de.wikipedia.org/wiki/Emil_Schering"
Segal, Jacques;NONE;Missing;Missing;Missing;M;UM;
Siliava, Judith;NONE;Missing;Missing;DE;F;UM;"Wife of Karl Polak; described by Karel van het Reve as a tiny little Jewess who emigrated from Berlin to France, after Hitler came to power, before settling in the Netherlands. Polak-Siliava was the wife of the Dutch communist Karl Polak and an acquaintance of the well-known Slavic Studies scholar Karel van het Reve (Roegholt 109-111); also https://www.dbnl.org/tekst/_par009200001_01/_par009200001_01_0027.php"
Spindler, Lore;NONE;Missing;Missing;DE;F;UM;"German sociologist, mentioned in article on marginalisation of women in the German social sciences. Has a PhD.
https://link.springer.com/chapter/10.1007%2F978-3-658-20477-8_3"
Spiro, Mario;NONE;1883;1960;DE;M;UM;"Moved in same circles as Max Beckmann, painted by him
https://books.google.de/books?id=DPCjDwAAQBAJ&pg=PT512&lpg=PT512&dq=%22mario+spiro%22+1883&source=bl&ots=PQYviLMDfh&sig=ACfU3U1zsF1-fehGjValVFHyAuN46RL9BQ&hl=de&sa=X&ved=2ahUKEwjq1pSUq_HuAhUQ6qQKHYfaDvEQ6AEwEnoECAgQAg#v=onepage&q=%22mario%20spiro%22%201883&f=false"
Stern, Gustav;NONE;Missing;Missing;Missing;M;UM;
Wollenberg, E.;NONE;Missing;Missing;Missing;Missing;UM;
