Language_area;Journal;Year;Issue_ID;Vol;No;Listed_Translator;Translator;Author;Title;Genre;SL;TL;Notes
DE;ME;1947;1;1;1;Anon.;Anon.;Rougemont, Denis de;Die Krankheiten Europas;Non-fictional prose;FR;DE;"Denis de Rougemont was a Swiss writer and cultural theorist who wrote in French; founder of the Centre Européen de la Culture in Geneva (1950) and the Institut Universitaire d'Etudes Européennes (1963)"
DE;ME;1947;2;1;2;Hardt, Ernst;Hardt, Ernst;Valéry, Paul;Der Mensch und die Muschel;Non-fictional prose;FR;DE;Essay (“L’homme et la coquille”)
DE;ME;1947;3;1;3;Hausenstein, Wilhelm;Hausenstein, Wilhelm;Hugo, Victor;Veni, Vidi, Vixi;Poetry;FR;DE;
DE;ME;1947;4;1;4;Anon.;Anon.;Winner, Percy;Die Krise des europäischen Selbstbewusstseins;Non-fictional prose;EN-AE;DE;"Essay; first published in the US-American journal “Commonweal”"
DE;ME;1947;4;1;4;Möring, Richard;Möring, Richard;Ortega y Gasset, José;Der Gesichtspunkt und seine Rolle in der Kunst;Non-fictional prose;SP;DE;"A study, first published in 1924; first translation to be published"
DE;ME;1947;4;1;4;Anon.;Anon.;Keynes, John Maynard;Von Wirtschaft und Wirtschaftswissenschaft;Non-fictional prose;EN-BE;DE;Collection of various (already published) translations of works by J. M. Keynes
DE;ME;1947;4;1;4;Anon.;Anon.;Patri, Aimé;Descartes, Sartre und Maritain;Non-fictional prose;FR;DE;
DE;ME;1947;4;1;4;Anon.;Anon.;Bodin, Jean;Über die Abstammung der Völker;Non-fictional prose;LAT;DE;Excerpt from “Methodus ad facilem historiam cognitem,” published in 1572.Bodin was a French political philosopher (1530 – 1596) who wrote in Latin and French
DE;ME;1947;5;1;5;Anon.;Anon.;Curtis, Lionel;Vereintes Europa;Non-fictional prose;EN-BE;DE;
DE;ME;1947;5;1;5;Emmerich, Leo;Emmerich, Leo;Hillary, Richard;Der letzte Feind;Life-writing;EN-BE;DE;Excerpts from the last chapter of his book, published as “The last Enemy”
DE;ME;1947;5;1;5;Nostitz, Oswalt von;Nostitz, Oswalt von;Koestler, Arthur;Richard Hillary;Life-writing;EN-BE;DE;First published in 1943 in the English magazine “Horizon”
DE;ME;1947;5;1;5;Anon.;Anon.;Robin, Armand;Fortschritt in Jahrhunderten;Life-writing;FR;DE;
DE;ME;1947;6;1;6;Anon.;Anon.;Ferrero, Guglielmo;Die legitime Demokratie;Non-fictional prose;IT;DE;
