Language_area;Journal;Year;Issue_ID;Vol;No;Listed_Translator;Translator;Author;Title;Genre;SL;TL;Notes
DE;MO;1948;1;NONE;1;Anon.;Doblhofer, Ernst;Russell, Bertrand;Der Weg zum Weltstaat;Non-fictional prose;EN-BE;DE;"B; 1951: german edition of Russell’s Unpopular Essays was translated by Doblhofer but includes a passage thanking Der Monat for the use of their translations"
DE;MO;1948;1;NONE;1;Anon.;Doblhofer, Ernst;Toynbee, Arnold J.;Bewährung des Westens;Non-fictional prose;EN-BE;DE;"B: Civilization on Trial; german translation (Kultur am Scheidewege by Doblhofer) 1949 "
DE;MO;1948;1;NONE;1;Anon.;Anon.;Koestler, Arthur;Brief aus Tel Aviv: Die umgestülpte Pyramide;Non-fictional prose;EN-BE;DE;unsure if translated
DE;MO;1948;1;NONE;1;Anon.;Anon.;Middleton, Drew;Sowjet-Russland ohne Propaganda. Berichte eines Auslands-Korrespondenten (1/2);Non-fictional prose;EN-AE;DE;
DE;MO;1948;1;NONE;1;Anon.;Anon.;Calder, Ritchie;Brief aus Mexiko City: Vulkanausbruch in Zeitlupe;Non-fictional prose;EN-BE;DE;
DE;MO;1948;1;NONE;1;Anon.;"Laporte, Luise; Grote, Gertrud";Santayana, George;Die kleinen Sorgen ;Quotation;EN-AE;DE;"short excerpt; B: Der letzte Puritaner (1936)"
DE;MO;1948;1;NONE;1;Anon.;Anon.;Sartre, Jean-Paul;Man schreibt für seine Zeit;Non-fictional prose;FR;DE;
DE;MO;1948;1;NONE;1;Anon.;Anon.;Kallas, Hillar;Brief aus Helsinki: Finnland steht fest;Non-fictional prose;FI;DE;unsure if translated
DE;MO;1948;1;NONE;1;Schiebelhuth, Hans;Schiebelhuth, Hans;Wolfe, Thomas;Dunkel im Walde, fremd wie die Zeit. Eine Erzählung;Fictional prose;EN-AE;DE;"B; source: Vom Tod zum Morgen (1935)+ bio Wolfe; commentary"
DE;MO;1948;1;NONE;1;Anon.;Reinhard, Ernst;Wolfe, Thomas;Something has spoken to me in the night / Irgendwas sprach zu mir in der Nacht;Fictional prose;EN-AE;DE;"B; bilingual presentation; printed like a poem but actually a quote from You Can’t Go Home Again (1940), german translation: Es führt kein Weg zurück (1942)"
DE;MO;1948;1;NONE;1;Anon.;Schiebelhuth, Hans;Wolfe, Thomas;Heimweh in Paris. Aus dem Tagebuch eines Romans;Life-writing;EN-AE;DE;"B; source: The Story of a Novel (1936), german translation in Uns bleibt die Erde (1951)"
DE;MO;1948;1;NONE;1;Anon.;Anon.;Wolfe, Thomas;„Alles war so ganz anders ...“ Aus einem Brief;Life-writing;EN-AE;DE;"excerpt; letter from Wolfe to Heinz Ledig (Rowohlt)"
DE;MO;1948;1;NONE;1;Anon.;Anon.;Kazin, Alfred;Rhetorik und Verzweiflung;Non-fictional prose;EN-AE;DE;(about Wolfe)
DE;MO;1948;1;NONE;1;Anon.;Anon.;Pritchett, V. S.;Archaisches Lukanien;Book review;EN-BE;DE;BR: Carlo Levi: Christus kam nur bis Eboli
