Language_area;Journal;Year;Issue_ID;Vol;No;Listed_Translator;Translator;Author;Title;Genre;SL;TL;Notes
DE;NU;1946;1;1;1;Anon.;Anon.;Maritain, Jacques;Die menschliche Person;Non-fictional prose;FR;DE;"B: Les Droits de l’Homme et la Loi naturelle; dt. Version von 1951 (Die Menschenrechte und das natürliche Gesetz)"
DE;NU;1946;1;1;1;Anon.;Anon.;Anon.;Die Bedeutung der englischen Wahlen;Non-fictional prose;EN-BE;DE;Europasendung des Britischen Rundfunks
DE;NU;1946;1;1;1;Anon.;Anon.;Salter, Arthur;Redefreiheit;Quotation;EN-BE;DE;
DE;NU;1946;1;1;1;Anon.;Anon.;Richter Jackson, Robert H.;Kriegsverbrechen und ihre Bestrafung;Non-fictional prose;EN-AE;DE;Bericht, den der Hauptrechtsbeistand der USA bei Strafverfolgung der Kriegsverbrecher Präsident Truman vorgelegt hat
DE;NU;1946;1;1;1;Anon.;Trebitsch, Siegfried;Shaw, George Bernard;Vorschlag auf Abschaffung der Klassen;Non-fictional prose;EN-BE;DE;"B: Everybody’s Political What‘s What?; inferred translator"
DE;NU;1946;1;1;1;Rilke, Rainer Maria;Rilke, Rainer Maria;Valéry, Paul;Die Schritte;Poetry;FR;DE;
DE;NU;1946;1;1;1;Anon.;Anon.;Myklebost, Tor;Kreuz und Hakenkreuz;Life-writing;EN-BE;DE;B: They Came as Friends
DE;NU;1946;1;1;1;Anon.;Anon.;Barrett, William E.;Hidalgos im Gaswerk;Fictional prose;EN-AE;DE;"J: South West Review. The story seems to be originally titled ""Señor Payroll"""
DE;NU;1946;1;1;1;Anon.;Anon.;Lardner, John;Landung auf Iwo Jima;Non-fictional prose;EN-AE;DE;J: The New Yorker
DE;NU;1946;1;1;1;Anon.;Anon.;Snow, Edgar;Zerstörung und Aufbau in der Ukraine;Non-fictional prose;EN-AE;DE;
DE;NU;1946;1;1;1;Anon.;Anon.;Anon.;Hunger;Fictional prose;DU;DE;J: Het Parool
DE;NU;1946;1;1;1;Anon.;Anon.;O’Connor, Frank;Kinder im Wald;Fictional prose;EN-BE;DE;"B: The Windmill; Translator Schnack, Elisabeth? (translated other works by O’Connor)"
DE;NU;1946;1;1;1;Anon.;Anon.;Payne, Robert;Auf chinesischen Hochschulen;Life-writing;EN-BE;DE;"B: Chungking Diary; Publisher William Heinemann"
DE;NU;1946;1;1;1;Anon.;Möhring, Beate;Thurber, James;Mr. Mitty träumt;Fictional prose;EN-AE;DE;"B: Thurber’s Carnival; German Version from 1948; inferred translator"
DE;NU;1946;1;1;1;Anon.;Barany, Otto;Saint-Exupéry, Antoine de;Flug nach Arras;Fictional prose;FR;DE;"B: Pilote de Guerre; German Version from 1942; inferred translator"
DE;NU;1946;1;1;1;Anon.;Anon.;Stettinius, Edward;Leih-Pacht;Non-fictional prose;EN-AE;DE;
DE;NU;1946;1;1;1;Anon.;Anon.;Seidman, Paul-Emile;Im Hospital von Bichat;Life-writing;EN-BE;DE;"J: The Spectator; possible relay translation (author most likely FR)"
DE;NU;1946;1;1;1;Anon.;Anon.;Davidson, Bill;Kobolde im Garten;Fictional prose;EN-AE;DE;J: Collier’s
DE;NU;1946;1;1;1;Anon.;Anon.;Fast, Howard;Bürger Thomas Paine;Life-writing;EN-AE;DE;"B: Citizen Tom Paine; German Version from 1953 tr. Karl Schodder"
DE;NU;1946;2;1;2;Anon.;Anon.;Brogan, D. W.;Deutschland und die Ideen des Westens;Non-fictional prose;EN-AE;DE;"B: The Free State; German Version from 1945"
DE;NU;1946;2;1;2;Anon.;Anon.;Lauterbach, Richard E.;Feldmarschall Schukov;Life-writing;EN-AE;DE;J: Life
DE;NU;1946;2;1;2;Anon.;Anon.;Ryder, David Warren;Die seltsame Geschichte von Kaiser Norton;Non-fictional prose;EN-AE;DE;J: The Saturday Evening Post
DE;NU;1946;2;1;2;Anon.;Anon.;Attlee, Clement;Das Wesen der britischen Arbeiterpartei;Non-fictional prose;EN-BE;DE;B: The Labour Party in Perspective
DE;NU;1946;2;1;2;Anon.;Anon.;Godden, Rumer;Schwester Malone ;Fictional prose;EN-BE;DE;J: Harper’s Magazine
DE;NU;1946;2;1;2;Anon.;Anon.;Bernal, J. D.;Die neuen Grenzen des Geistes;Non-fictional prose;EN-BE;DE;J: The New Statesman and Nation
DE;NU;1946;2;1;2;Anon.;Anon.;Capek, Karel;Hunde und Katzen;Non-fictional prose;EN-BE;DE;"B: I Had a Dog and a Cat; tschechischer Autor, Übersetzung ins Englische von M. & R. Weatherall (Publ Pook Press) German Version published 1960, translation Walter Matos"
DE;NU;1946;2;1;2;Anon.;Anon.;Marshall, Alan;Wieso die Landung in Frankreich gelang;Non-fictional prose;EN-BE;DE;Australian author
DE;NU;1946;2;1;2;Anon.;Anon.;Salvemini, Gaetano;Ferrucio Parri;Life-writing;EN-AE;DE;J: The Nation
DE;NU;1946;2;1;2;Anon.;Anon.;Simenon, Georges;Nikolas;Fictional prose;FR;DE;J: La Revue de Paris
DE;NU;1946;2;1;2;Anon.;Anon.;Wilson, Edmund;Der junge Marx;Non-fictional prose;EN-AE;DE;B: To the Finland Station (erste dt. Übersetzung 1963)
DE;NU;1946;2;1;2;Anon.;Anon.;Anon.;[Untitled];Quotation;EN-AE;DE;J: Time
DE;NU;1946;2;1;2;Anon.;Anon.;Calderón, A.;Fleischlose Tage;Life-writing;EN-BE;DE;J: Manchester Guardian
DE;NU;1946;2;1;2;Anon.;Anon.;Davinroy, Claire;Im Frauenlager;Life-writing;FR;DE;J: La Revue de Paris
DE;NU;1946;2;1;2;Anon.;Anon.;Lo, Kenneth;Ein Chinesischer Seemann;Fictional prose;EN-BE;DE;J: Penguin New Writing
DE;NU;1946;2;1;2;Anon.;Anon.;"Harris, H.; Riesel, V.";Gewerkschaften in den Vereinigten Staaten;Non-fictional prose;EN-AE;DE;J: USA.-Magazine
DE;NU;1946;2;1;2;Anon.;Anon.;Bouissounouse, Janine;Wiederaufbau in Frankreich;Non-fictional prose;FR;DE;J: La France Libre
DE;NU;1946;2;1;2;Anon.;Anon.;Anon.;[Untitled];Quotation;EN-BE;DE;J: Daily Mail
DE;NU;1946;2;1;2;Anon.;Bachmann, Hellmuth;Lowdermilk, Walter Clay;Planung im Nahen Osten;Non-fictional prose;EN-AE;DE;"B: Palestine, Land of Promise; German version 1945, tr. Hellmuth Bachmann"
DE;NU;1946;2;1;2;Anon.;Anon.;Anon.;[Untitled];Quotation;EN-AE;DE;J: Science News Letter
DE;NU;1946;2;1;2;Anon.;Anon.;"Zeller Gross, Miriam; Spencer, Steven M.";Aminosäuren;Non-fictional prose;EN-AE;DE;J: The Saturday Evening Post
DE;NU;1946;2;1;2;Anon.;Anon.;Priestley, J. B.;Drei Männer in neuen Anzügen;Fictional prose;EN-BE;DE;"B: Men in New Suits (1945); German version 1946, tr. Anna Katharina Rehmann-Salten"
DE;NU;1946;2;1;2;Anon.;Anon.;Gide, André;Eine Huldigung in André Gides Tagebuch;Life-writing;EN-BE;DE;"J: Manchester Guardian; relay translation (original SL: FR)"
DE;NU;1946;2;1;2;Anon.;Anon.;Bowra, C. M.;Sowjetrussische Dichtung;Non-fictional prose;EN-BE;DE;J: Horizon
DE;NU;1946;2;1;2;Anon.;Anon.;Winant, John;[Untitled];Quotation;EN-AE;DE;
DE;NU;1946;3;1;3;Anon.;Anon.;Adams, Phelps;Die Verfassungsurkunde der Vereinten Nationen;Non-fictional prose;EN-AE;DE;J: The New York Sun
DE;NU;1946;3;1;3;Anon.;Anon.;Duhamel, Georges;Die französische Geistigkeit in der Zeit der Not;Non-fictional prose;FR;DE;
DE;NU;1946;3;1;3;Damjakob, B.;Damjakob, B.;Wordsworth, William;An den Schlaf;Poetry;EN-BE;DE;
DE;NU;1946;3;1;3;Anon.;Anon.;Katajew, Valentin;Die Tochter des Schaubudenbesitzers;Fictional prose;EN-BE;DE;"B: Sowjet Anthology; Publ Cape, London"
DE;NU;1946;3;1;3;Anon.;Anon.;Saint-Exupéry, Antoine de;Der kleine Prinz;Quotation;FR;DE;B: Der kleine Prinz (erste dt. Übersetzung 1950)
DE;NU;1946;3;1;3;Anon.;Anon.;Temple, William;Was Geht das die Kirche an?;Non-fictional prose;EN-BE;DE;B: Christianity and Social Order, Publ Penguin
DE;NU;1946;3;1;3;Anon.;Anon.;Buchan, Charles;Der Geist des englischen Sports;Non-fictional prose;EN-BE;DE;J: London Calling
DE;NU;1946;3;1;3;Anon.;Anon.;Shaw, Irwin;Zwischenfall auf Hoher See;Fictional prose;EN-AE;DE;J: The New Yorker
DE;NU;1946;3;1;3;Anon.;Anon.;Allen, E. L.;Kulturprobleme in China und Japan;Non-fictional prose;EN-BE;DE;J: Contemporary Review
DE;NU;1946;3;1;3;Anon.;Anon.;Neuberger, Richard L.;Das grosse Lachsexperiment;Non-fictional prose;EN-AE;DE;J: Harper’s Magazine
DE;NU;1946;3;1;3;Anon.;Anon.;Reynolds, Reginald;A.Z.P. Hundert Jahre Fortschritt;Non-fictional prose;EN-BE;DE;J: The New Stateman and Nation
DE;NU;1946;3;1;3;Anon.;Anon.;Anon.;Es kommt nicht auf das Alter an;Non-fictional prose;EN-BE;DE;J: Lilliput 
DE;NU;1946;3;1;3;Anon.;Anon.;Forster, E. M.;Woran ich glaube;Life-writing;EN-BE;DE;B: Two Cheers for Democracy (1938), Publ Hogarth
DE;NU;1946;3;1;3;Anon.;Anon.;Saroyan, William;Der goldene Boden;Fictional prose;EN-AE;DE;"B: American Short Stories; could only find a short story collection called “The Daring Young Man on the Flying Trapeze and Other Stories” published by Modern Library (1941); Publ Modern Library; Bode, Helmut (tr. 1948 edition)"
DE;NU;1946;3;1;3;Anon.;Anon.;Lattimore, Owen;Sibirien schaltet um;Non-fictional prose;EN-AE;DE;J: National Geographic Magazin
DE;NU;1946;3;1;3;Anon.;Anon.;Gardner, Mona;Streptomycin;Non-fictional prose;EN-AE;DE;J: Collier’s Magazine
DE;NU;1946;3;1;3;Anon.;Anon.;Anon.;[Untitled];Quotation;EN-BE;DE;J: The Sunday Pictorial
DE;NU;1946;3;1;3;Anon.;Anon.;Anon.;Kredit für den Nachkriegshandel;Non-fictional prose;EN-AE;DE;J: The United States News
DE;NU;1946;3;1;3;Anon.;Anon.;Leimert, John;Der wunderbare Würfel;Fictional prose;EN-AE;DE;J: The Atlantic Monthly
DE;NU;1946;3;1;3;Anon.;Anon.;Anon.;Russland organisiert seine Friedenswirtschaft;Non-fictional prose;EN-BE;DE;J: The Times, London
DE;NU;1946;3;1;3;Anon.;Anon.;Bruller, Jean Marcel Adolphe;Wanderung dem Stern zu;Life-writing;FR;DE;author's pseudonym used in magazine: Vercors
DE;NU;1946;4;1;4;Anon.;Anon.;Camus, Albert;Briefe an einen deutschen Freund;Life-writing;FR;DE;"B: Lettres à un ami allemand; Publ Gallimard"
DE;NU;1946;4;1;4;Anon.;Anon.;Bonham Carter, Violet;Die Hausfrau und die Politik;Non-fictional prose;EN-BE;DE;J: Housewife
DE;NU;1946;4;1;4;Anon.;Anon.;Wallace, Henry A.;Freies Unternehmertum und staatliche Kontrolle;Non-fictional prose;EN-AE;DE;"B: Sixty Million Jobs; Book translated by Rudolf Frank (1946) worked for the publisher that published the German edition at that time (Zürich: Steinberg); Publ Reynal & Hitchcock; Simon & Schuster; Frank, Rudolf"
DE;NU;1946;4;1;4;Anon.;Anon.;Snow, Edgar;Auf dem Wege der Unsterblichkeit;Non-fictional prose;EN-AE;DE;J: Sunday Express
DE;NU;1946;4;1;4;Anon.;Anon.;Johnson, Elizabeth Mountcastle;[Untitled];Quotation;EN-BE;DE;B: A Harp with a Thousand Strings
DE;NU;1946;4;1;4;Anon.;Anon.;Campbell, Roy;Provençalische Spiele;Life-writing;EN-BE;DE;J: The Listener
DE;NU;1946;4;1;4;Anon.;Anon.;Murray, Gilbert;Vorurteil oder Vernunft;Non-fictional prose;EN-BE;DE;"J: The Anchor of Civilisation; Publ Oxford University Press; also a translator (probably Greek-EN)"
DE;NU;1946;4;1;4;Anon.;Anon.;Schlumberger, Jean;[Untitled];Quotation;FR;DE;J: Figaro
DE;NU;1946;4;1;4;Anon.;Anon.;Thurber, James;Das Einhorn im Garten;Fictional prose;EN-AE;DE;B: Thurber’s Carnival, German version from 1948, tr. Beate Möhring
DE;NU;1946;4;1;4;Anon.;Anon.;Fischer, Heinrich;Der Fall Knut Hamsun;Life-writing;EN-AE;DE;"B: New Writing and Daylight; Publ Harpers; possible relay translation; German author and translator, but book written by several authors, originally published in English; German version from 1947, tr. H. Rohmann"
DE;NU;1946;4;1;4;Anon.;Anon.;Calder, Ritchie;Der Atom-Motor;Non-fictional prose;EN-BE;DE;J: News Chronicle
DE;NU;1946;4;1;4;Anon.;Anon.;Fürst, Bruno;Eine englische Prachtbibel aus dem zwölften Jahrhundert;Non-fictional prose;EN-BE;DE;not sure if this text was originally written in English and then translated or directly written in German (author lived in Germany and England)
DE;NU;1946;4;1;4;Anon.;Anon.;Bromfield, Louis;Johnny Appleseed und Tante Mattie;Fictional prose;EN-AE;DE;"B: Pleasant Valley (dt. “Tal meiner Sehnsucht”); Schmidt, Edith (1952)"
DE;NU;1946;4;1;4;Anon.;Anon.;Mallalieu, J. P. W.;Meine Parlamentsferien;Life-writing;EN-BE;DE;J: The Leader
DE;NU;1946;4;1;4;Anon.;Anon.;Bayles, William;Sir William Beveridge ein grosser englischer Sozialpolitiker;Life-writing;EN-BE;DE;J: The American Mercury
DE;NU;1946;4;1;4;Anon.;Anon.;Goris, Jan Albert;Was man Ihnen erzählen sollte;Non-fictional prose;EN-BE;DE;"J: News from Belgium; possible relay translation (author Belgian)"
DE;NU;1946;4;1;4;Anon.;Anon.;Leighton, Ann;Heimkehr;Fictional prose;EN-AE;DE;J: Atlantic Monthly
DE;NU;1946;4;1;4;Anon.;Anon.;Mumford, Lewis;Gesellschaft, Stadtplanung und Familienleben;Non-fictional prose;EN-AE;DE;"B: City Development; Publ Harcourt Brace; Ensslen, Veronica (1951)"
DE;NU;1946;4;1;4;Anon.;Anon.;Dobie, J. Frank;Gespräche in der Eisenbahn;Non-fictional prose;EN-AE;DE;"B: A Texan in England; Publ Little Brown"
