Language_area;Journal;Year;Issue_ID;Vol;No;Listed_Translator;Translator;Author;Title;Genre;SL;TL;Notes
DE;WA;1945;1;1;1;Sternberger, Dolf;Sternberger, Dolf;Eliot, T. S.;East Coker;Poetry;EN-BE;DE;"NB also has accompanying “Rechenschaftsbericht des Übersetzers“; Bilingual presentation"
DE;WA;1946;2;1;2;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE
DE;WA;1946;3;1;3;Anon.;Anon.;United Nations;Urkunde der Vereinten Nationen;Non-fictional prose;EN;DE;
DE;WA;1946;4;1;4;Andres, Stefan;Andres, Stefan;Anon.;Bible: 72 (73.) Psalm;Non-fictional prose;LAT;DE;
DE;WA;1946;4;1;4;Hausenstein, Wilhelm;Hausenstein, Wilhelm;Rimbaud, Arthur;Les effarés/Die Verzückten;Poetry;FR;DE;Bilingual presentation of ST and two TTs
DE;WA;1946;4;1;4;Küchler, Walter;Küchler, Walter;Rimbaud, Arthur;Les effarés/Die Verzückten;Poetry;FR;DE;Bilingual presentation of ST and two TTs
DE;WA;1946;5;1;5;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE
DE;WA;1946;6;1;6;Mayr, Rolf;Mayr, Rolf;La Fontaine, Jean de;Drei Fabeln: Der Frosch, der so groß sein Wollte wie der Ochse (I,3);Fictional prose;FR;DE;Three Fables
DE;WA;1946;6;1;6;Mayr, Rolf;Mayr, Rolf;La Fontaine, Jean de;Drei Fabeln: Der kranke Löwe und der Fuchs (VI,14);Fictional prose;FR;DE;Three Fables
DE;WA;1946;6;1;6;Mayr, Rolf;Mayr, Rolf;La Fontaine, Jean de;Drei Fabeln: Der Löwe und der Esel auf der Jagd (II,19);Fictional prose;FR;DE;Three Fables
DE;WA;1946;7;1;7;Gal, Oda von;Gal, Oda von;Anon.;Aus der Unabhängigkeitserklärung der Vereinigten Staaten von Amerika;Non-fictional prose;EN-AE;DE;
DE;WA;1946;7;1;7;Jacobs, Erika;Jacobs, Erika;"Churchill, Winston; Roosevelt, Franklin D.; Stalin, Joseph";Wortlaut der Erklärung von Jalta;Non-fictional prose;EN-AE;DE;
DE;WA;1946;7;1;7;Jacobs, Erika;Jacobs, Erika;Baruch, Bernard Mannes;Rede von Bernard Mannes Baruch bei der Eröffnungssitzung der Atomkommission der Vereinten Nationen;Non-fictional prose;EN-AE;DE;
DE;WA;1946;8;1;8;Anon.;Anon.;Arendt, Hannah;Über den Imperialismus;Non-fictional prose;EN-AE;DE;B:  Imperialism: Road to Suicide, The Political Origins and Use of Racism in Jewish political magazine Commentary, 1945. Wiki suggests difference between English and German (and was the English version itself a translation from the German?)
DE;WA;1946;8;1;8;Schwertfeger, Bernhard;Schwertfeger, Bernhard;Wells, Sumner;Eine vergebliche Mission: Sumner Wells in Europa 1940;Non-fictional prose;EN-AE;DE;B: The Time for Decision
DE;WA;1946;9;1;9;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE
DE;WA;1946;10;1;10;Jaffé-Richthofen, Else;Jaffé-Richthofen, Else;Zimmer, Heinrich;Neuling in Amerika. Eine Ansprache, während des Krieges am 17. Oktober 1941 in New York gehalten;Life-writing;EN-AE;DE;
DE;WA;1946;11;1;11;Hausenstein, Wilhelm;Hausenstein, Wilhelm;Rimbaud, Arthur;Bateau ivre/Das trunkene Schiff;Poetry;FR;DE;Bilingual presentation of ST and TT
DE;WA;1946;11;1;11;Wasmuth, Ewald;Wasmuth, Ewald;Pascal, Blaise;Über Wahn und Vernunft (aus den “Pensées”);Non-fictional prose;FR;DE;
DE;WA;1946;12;1;12;Platen, Alice;Platen, Alice;Arendt, Hannah;Franz Kafka, von neuem gewürdigt;Non-fictional prose;EN-AE;DE;B: Frank Kafka, A Revaluation
DE;WA;1947;13;2;1;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE
DE;WA;1947;14;2;2;Schopenhauer, Arthur;Schopenhauer, Arthur;Gracián, Baltasar;Die dreihundertste Lebensregel. Aus Balthasar Gracians „Handorakel“;Non-fictional prose;SP;DE;
DE;WA;1947;15;2;3;Wahl, Eduard;Wahl, Eduard;Duverger, Maurice;Die politischen Parteien und die Demokratie;Non-fictional prose;FR;DE;
DE;WA;1947;16;2;4;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE
DE;WA;1947;17;2;5;Kahler, Erich;Kahler, Erich;Eliot, T. S.;Journey of the Magi/Reise der drei Könige;Poetry;EN-BE;DE;See 2.6 for a correction of one term, correspondence Eliot/Kahler
DE;WA;1947;18;2;6;Kemp, Friedhelm;Kemp, Friedhelm;Supervielle, Jules;Da nun von Tag zu Tag …;Poetry;FR;DE;"Part of a group of 2 poems titled ""Zwei Gedichte"". French original: ""Puisque nos battements …"""
DE;WA;1947;18;2;6;Kemp, Friedhelm;Kemp, Friedhelm;Supervielle, Jules;Spitze der Flamme;Poetry;FR;DE;"Part of a group of 2 poems titled ""Zwei Gedichte"". French original: ""Pointe de Flamme""."
DE;WA;1947;19;2;7;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE
