Language_area;Surname_Name;Pseudonym(s);Year_Birth;Year_Death;Nationality;Gender;Journal(s);Notes
DE;[Unknown];Chauve-Souris;Missing;Missing;Missing;Missing;NU;won translation contest in The New Statesman and Nation, translated poem of Eduard Mörike printed in 3.5.1948
DE;Alegiani, Conte;NONE;Missing;Missing;Missing;M;GT;Translated poems from Italian into German
DE;Andertann, Hedwig;NONE;Missing;Missing;Missing;F;GT;Translated from French into German including various novels
DE;Andres, Stefan;NONE;1906;1970;DE;M;WA;"Popular novelist of the 1950s and 1960s (publishing mainly with Piper in Munich); studies in Cologne and Jena; works for Cologne radio station but moves to Italian with Jewish wife after 1933; returns to Germany in 1950. https://de.wikipedia.org/wiki/Stefan_Andres"
DE;Arendt, Erich;NONE;1903;1984;DE;M;ME;"German poet and translator; his wife was a so-called ‘half-Jew’, fled to Switzerland in 1933; 1934-36 lived on Mallorca; emigrated to France in 1939, there interned as enemy alien several times; moved to Columbia and later to East Germany (DDR); translated from Spanish (Pablo Neruda) https://de.wikipedia.org/wiki/Erich_Arendt"
DE;Arendt, Hannah;NONE;1906;1975;"DE; US";F;MO;"Self-translation only; https://en.wikipedia.org/wiki/Hannah_Arendt"
DE;Aron, Edith;NONE;1923;2020;DE;F;MO;"Writer, translator; emigrated to Buenos Aires as a child; translated mostly Latin American authors 
https://de.wikipedia.org/wiki/Edith_Aron"
DE;Baader, Bernhard;NONE;1931;Missing;Missing;M;MO;https://portal.dnb.de/opac/opacPresentation?cqlMode=true&reset=true&referrerPosition=0&referrerResultId=eine+and+zeit+and+der+and+stille+sortBy+jhr%2Fsort.ascending%26any&query=idn%3D1076248276
DE;Bachmann, Hellmuth;NONE;Missing;Missing;Missing;M;NU;
DE;Bachmann, Ingeborg;NONE;1926;1976;AT;F;ME;"Austrian poet and author; studied philosophy, psychology, German philology, and law at the universities of Innsbruck, Graz, and Vienna; Dr. phil. Vienna 1949; acquainted with writers Paul Celan (also translator), Ilse Aichinger and Klaus Demus https://de.wikipedia.org/wiki/Ingeborg_Bachmann"
DE;Baldus, Alexander;NONE;1900;1971;DE;M;GT;"German writer and translator, translated from Scandinavian and Baltic languages into German
https://stadtarchivkoblenz.wordpress.com/2020/09/30/alexander-baldus-verkanntes-dichtergenie-oder-merkwurdiger-sonderling/"
DE;Barany, Otto;NONE;1878;1967;AT;M;NU;"born in Vienna, Austria; died in Stockholm, Sweden
https://www.geni.com/people/Otto-Barany/6000000010646088508"
DE;Baudisch, Paul;NONE;1899;1977;AT;M;MO;https://www.kritikatur.de/Paul_Baudisch
DE;Baumgardt, Ernst;NONE;Missing;Missing;Missing;M;UM;
DE;Baumgart, Hildegard;Baumgart, Hille;1929;Missing;Missing;F;ME;"Scholar of Romance studies and translator; translated from Spanish; Dr.; married to writer Reinhard Baumgart"
DE;Baumhauer, Otto;NONE;Missing;Missing;Missing;M;MO;
DE;Beck, Heinrich;Beck, Enrique;1904;1974;"DE; CH";M;MO;"poet and translator; had the sole translation rights for the works of Federico Garcia Lorca
https://de.wikipedia.org/wiki/Enrique_Beck"
DE;Becker, Franziska;Becker, Rolly;1908;1991;DE;F;MO;journalist, editor, translator
DE;Beer, Arthur;NONE;1900;1980;DE;M;NU;"astronomer, worked at Cambridge University, military service WWI, produced scientific radio program in Germany, lecturer, columnist, emigrated to Cambridge (1934) due to persecution (helped by Albert Einstein), scientific and popular contributions to newspapers, translated scientific works
https://en.wikipedia.org/wiki/Arthur_Beer"
DE;Benda, Annelies von;NONE;Missing;Missing;Missing;F;MO;
DE;Bense, Max;NONE;1910;1990;DE;M;ME;"German philosopher, writer, and publicist; born in Strasbourg, 1918 his family was deported from Alsace-Lorraine as a consequence of WW1; studied physics, chemistry, mathematics, geology, and philosophy at the University of Bonn; contributions to newspapers, journals, and broadcast; Dr. phil. nat.; declared opponent of national socialism; opposed the Deutsche Physik of the Nazi regime; associated with writers Alfred Andersch, Gottfried Benn and Arno Schmidt https://de.wikipedia.org/wiki/Max_Bense"
DE;Benton, José Antonio;"Elsas, Hans Gustav; Gaupp-Turgis, Helmut";1894;1986;DE;M;"ME; WA";"Jewish German lawyer and writer; studied law in Tübingen and Romance philology in Munich; banned from writing in 1935; emigrated to Brazil in 1936 because of Jewish origin; professor of Ancient Greek language and literature at the University of Assis in São Paulo; 1959 director of the Goethe institute in Brazil; interest in Brazilian literature of the 16th-18th century and Brazilian folklore https://de.wikipedia.org/wiki/Jos%C3%A9_Antonio_Benton"
DE;Berisch, Karl;NONE;Missing;Missing;Missing;M;MO;
DE;Bertsch, Trudel;NONE;Missing;Missing;Missing;F;GT;Translated from French into German
DE;Birnbaum, Charlotte;Birnbaum, Lotte;1900;1981;DE;F;"ME; GT";German writer and translator from Italian
DE;Blumenthal, Otto;Bental, Oded;Missing;Missing;Missing;M;NU;"Jewish, lawyer, associate of Udo Rukser (joint law office, both tried to evade Nazis by moving to Bodensee, close to Swiss border, Rukser emigrated to Chile in 1939); Blumenthal arrested and brought into concentration camp Dachau (1938), released after several weeks, emigrated to Palestine; inferred nationality DE
Blumenthal, Otto: Die Verhaftung. In: Gerhard Schoenberner (Ed.): Wir haben es gesehen. Augenzeugenberichte über Terror und Judenverfolgung im Dritten Reich (1962)
https://de.wikipedia.org/wiki/Udo_Rukser
http://www.forum-allmende.de/downloads/udo_rukser.pdf 
https://www.zvab.com/Gedichte-Balladen-%C3%9Cbertragen-Vorwort-Oded-Bental/22482115887/bd"
DE;Bochow-Blüthgen, Hansi;Wiesner, Lore;1897;1983;DE;Missing;MO;"author, editor and translator; famous for her translations of Truman Capote, Henry Morton Robinson, Christopher Isherwood, Henry James ...
https://de.wikipedia.org/wiki/Hansi_Bochow-Bl%C3%BCthgen"
DE;Bock, Werner;NONE;1893;1962;DE;M;ME;"German poet, translator and literary historian; studied German philology, art history and philosophy in Munich and Gießen; 1919 PhD; banned from writing in 1934; 1939 emigrated to Argentina, Argentinian citizenship in 1942; wrote in German and Spanish; published his works in Latin American and German journals and magazines; 1946-49 professor of German literature and philosophy in Montevideo, Uruguay; 1958 emigrated to Losone, Switzerland https://de.wikipedia.org/wiki/Werner_Bock"
DE;Bode, Margrit;NONE;Missing;Missing;Missing;F;MO;
DE;Bodeck, Hermann;NONE;1893;1966;DE;M;GT;Translator and writer, born in Berlin, dies in Paris http://agso.uni-graz.at/spannkreis/index.php?ref=biografien/b/bodeck_herman
DE;Boehlich, Walter;NONE;1921;2006;DE;M;ME;"German journalist and translator; discriminated at school because of his Jewish origin; worked as assistant to Prof. Ernst Robert Curtius; worked as literary critic for Die Zeit and Frankfurter Allgemeine Zeitung; chief editor at the Suhrkamp Verlag; wrote articles for various magazines; translated several books from French, Spanish and Danish"
DE;Bondy, François;NONE;1915;2003;CH;M;MO;"Writer, critic, journalist; interned at Camp du Vernet in 1940; editor-in-chief of Preuves; translated works by Benedetto Croce, Guglielmo Ferrero, Emil Cioran, Johann Heinrich Merck ... 
https://de.wikipedia.org/wiki/Fran%C3%A7ois_Bondy"
